招聘主题,用人单位,发布日期,浏览次数,职位数量
2022神马电力集团招聘,江苏神马电力股份有限公司,2022-01-10,1,1
中国人民银行清算总中心博士后科研工作站2022年度博士后招收简章,中国人民银行清算总中心,2022-01-10,1,1
山东电力设备有限公司2022届毕业生招聘,山东电力设备有限公司,2022-01-10,1,2
格力电器2022届春季校园招聘提前批,珠海格力电器股份有限公司,2022-01-10,1,1
中国信通院企业数字化战略研究员,中国信息通信研究院,2022-01-10,1,1
常州机电职业技术学院2022年公开招聘工作人员（第一批）,北京海天创高网络技术有限公司,2022-01-10,1,1
厦门理工学院2021-2022年公开招聘人才启事,北京神州硕博信息技术有限公司,2022-01-10,24,1
赋乐科技2022届校园招聘,北京知多星科技有限公司,2022-01-10,22,7
数码视讯科技集团2022校园招聘,北京数码视讯科技股份有限公司,2022-01-10,20,1
深开鸿2022届校园招聘简章,深圳开鸿数字产业发展有限公司,2022-01-10,15,6
北京大地泰华会计师事务所（特殊普通合伙）2022校园招聘,北京大地泰华会计师事务所（特殊普通合伙）,2022-01-09,294,1
北京大地泰华会计师事务所（特殊普通合伙）校园招聘,北京大地泰华会计师事务所（特殊普通合伙）,2022-01-09,241,1
重庆唯申科技有限公司招聘LabVIEW工程师,重庆唯申科技有限公司,2022-01-09,229,2
湖南高尔夫旅游职业学院招聘,北京高博中进信息技术有限公司,2022-01-09,222,1
中国农业发展银行博士后科研工作站2022年博士后研究人员招收公告,广州高才信息科技有限公司,2022-01-09,220,1
辽宁工程技术大学2021-2022年招聘人才公告,北京南方国际人力资源顾问有限公司,2022-01-09,212,1
总部职能管理岗,中国医药健康产业股份有限公司,2022-01-09,222,6
曲靖师范学院2022年计划引进60名高层次人才,北京海天创高网络技术有限公司,2022-01-09,204,1
2022届校招管培生 中信证券北京分公司,中信证券股份有限公司北京分公司,2022-01-09,214,1
大连东软教育科技集团2022校园招聘,大连东软教育科技集团有限公司,2022-01-09,205,1
2021-2022零点有数校园招聘火热开启,北京零点有数数据科技股份有限公司,2022-01-09,214,3
东北电力大学人才招聘计划,北京神州之窗网络技术服务有限公司,2022-01-09,202,1
菏泽学院2022年人才招聘简章,北京神州硕博信息技术有限公司,2022-01-09,203,1
售前工程师,北京逐明科技有限公司,2022-01-09,201,1
后端开发工程师,北京逐明科技有限公司,2022-01-09,221,1
前端开发工程师,北京逐明科技有限公司,2022-01-09,195,1
测试工程师,北京逐明科技有限公司,2022-01-09,187,1
销售经理,北京逐明科技有限公司,2022-01-09,184,1
牧原2022年春节招聘,牧原食品股份有限公司,2022-01-09,199,1
桂林航天工业学院2021-2022年博士招聘公告,北京南方国际人力资源顾问有限公司,2022-01-09,182,1
西昌学院2022年考核招聘博士人才公告,北京神州硕博信息技术有限公司,2022-01-09,40,1
江西服装学院2022年招聘启事,北京南方国际人力资源顾问有限公司,2022-01-09,41,1
武汉生物工程学院2022年人才招聘简章,北京神州硕博信息技术有限公司,2022-01-09,37,1
延安大学2021-2022年教师岗位招聘公告,北京神州硕博信息技术有限公司,2022-01-09,38,1
中国艺术科技研究所博士后科研工作站2022年招聘公告,北京神州硕博信息技术有限公司,2022-01-09,40,1
北京菁正咨询有限公司2022年春季校园招聘,北京菁正咨询有限公司,2022-01-06,551,2
天津卷烟厂2022届新员工招聘,上海烟草集团有限责任公司天津卷烟厂,2022-01-06,472,1
丹江口水利枢纽小水电有限公司校园招聘启事,中研博硕信息科技（湖北）有限公司,2022-01-06,380,1
深圳市埃芯半导体科技有限公司人才引进,中研博硕信息科技（湖北）有限公司,2022-01-06,379,1
武汉船用机械有限责任公司2022年校园招聘,中研博硕信息科技（湖北）有限公司,2022-01-06,367,1
株洲时代电子技术有限公司招聘简章,中研博硕信息科技（湖北）有限公司,2022-01-06,357,1
中国电子科技集团公司第十一研究所招聘,华北光电技术研究所（中国电子科技集团公司第十一研究所）,2022-01-06,401,1
云南省农村信用社科技结算中心 2022年度校园招聘公告,云南省农村信用社科技结算中心,2022-01-06,350,1
内蒙古大学常年引进人才公告,北京神州硕博信息技术有限公司,2022-01-06,341,1
粤港澳大湾区重要节点城市——惠州学院2021年招聘专任教师（博士、硕士）,北京神州硕博信息技术有限公司,2022-01-06,346,1
新加坡国立大学重庆研究院2022春季招聘简章,重庆新国大研究院,2022-01-06,343,2
中国水产科学研究院黄海水产研究所博士后科研工作站2022年博士后研究人员招收简章,北京高博中进信息技术有限公司,2022-01-06,335,1
华夏银行信用卡中心2022年业务管理培训生招聘,华夏银行股份有限公司信用卡中心,2022-01-06,350,1
广东医科大学2022年公开招聘高校应届毕业生,北京海天创高网络技术有限公司,2022-01-06,345,1
C&F School 阳光心霖儿童公社2022年校园招聘,昆明心霖公社培训学校,2022-01-06,339,5
安阳工学院2021-2022年招聘简章,北京神州硕博信息技术有限公司,2022-01-06,193,1
广州市建筑科学研究院集团有限公司2022年博士后招聘简章,北京神州硕博信息技术有限公司,2022-01-06,141,1
中华财险2022校园招聘简章,中华联合财产保险股份有限公司,2022-01-06,124,1
思必驰2022届春季校园招聘,思必驰科技股份有限公司,2022-01-06,137,13
攀枝花学院2022年高层次人才招聘简章,北京磐石活水信息科技有限公司,2022-01-06,123,1
福州大学最新博士后招聘公告,北京南方国际人力资源顾问有限公司,2022-01-05,608,1
博后英才，深圳@您！深圳市人民医院面向全球广纳贤才,北京海天创高网络技术有限公司,2022-01-05,438,1
虚位以待 职等你来|天津市智能轨道交通人才创新创业联盟暨武清区重点企业组团招聘来了！,天津市武清区人力资源和社会保障局,2022-01-05,428,1
曲靖师范学院2022年计划高薪引进60名高层次人才,北京高博中进信息技术有限公司,2022-01-05,396,1
空军工程大学2021年面向社会公开招考文职人员补录公告,中国人民解放军空军工程大学,2022-01-05,406,1
管培生,北京万域芳菲文化发展有限公司,2022-01-05,384,1
北京环佳通信技术有限公司诚聘北邮英才,北京市环佳通信技术公司,2022-01-05,408,13
2022烽火校园招聘,武汉烽火技术服务有限公司,2022-01-05,390,3
中航材利顿航空科技有限公司管培生招聘,中航材利顿航空科技有限公司,2022-01-05,394,2
Thoughtworks 中国区 2022 届校园招聘（补录场）,思特沃克软件（北京）有限公司,2022-01-05,395,1
2022襄阳市选调生招录,中共襄阳市委组织部,2022-01-05,668,1
湘潭大学2021年诚聘海内外人才,北京神州之窗网络技术服务有限公司,2022-01-05,560,1
牧原22届应届生招聘,牧原食品股份有限公司,2022-01-05,552,1
中信证券杭州凤起路营业部2022校园招聘,中信证券股份有限公司杭州凤起路证券营业部,2022-01-05,538,1
C&F School 阳光心霖儿童公社2022年校园招聘简章,昆明市盘龙区心霖公社教育培训中心,2022-01-05,502,5
C++研发工程师,华控清交信息科技（北京）有限公司,2022-01-05,431,1
2022中公教育校园招聘,,2022-01-05,392,1
售前解决方案管培生（北京）,华控清交信息科技（北京）有限公司,2022-01-05,372,1
售前解决方案管培生（上海）,华控清交信息科技（北京）有限公司,2022-01-05,378,1
软件研发工程师（密码与安全）,华控清交信息科技（北京）有限公司,2022-01-05,372,1
编译工程师,华控清交信息科技（北京）有限公司,2022-01-05,368,1
软件研发工程师（算法与数据科学）,华控清交信息科技（北京）有限公司,2022-01-05,362,1
大客户销售管培生（北京）,华控清交信息科技（北京）有限公司,2022-01-05,354,1
海南工商职业学院2022年春季人才招聘,北京海天创高网络技术有限公司,2022-01-05,365,1
中国水产科学研究院黄海水产研究所2022年公开招聘工作人员,北京高博中进信息技术有限公司,2022-01-05,358,1
大客户销售管培生（上海）,华控清交信息科技（北京）有限公司,2022-01-05,315,1
中国石油大学（北京）克拉玛依校区2022年度招聘简章,中国石油大学（北京）克拉玛依校区,2022-01-05,311,3
徐州工程学院2022年人才引进政策及计划,北京神州之窗网络技术服务有限公司,2022-01-05,307,1
江苏科技大学2021-2022年诚聘海内外优秀人才,北京南方国际人力资源顾问有限公司,2022-01-05,306,1
中山大学微电子科学与技术学院虞志益教授团队（下一代处理器研究团队）招聘科研助理公告,广州高才信息科技有限公司,2022-01-05,303,1
汉航（北京）科技有限公司招聘进行中,汉航（北京）科技有限公司,2022-01-05,297,2
宿迁学院2021-2022年人才招聘公告,北京南方国际人力资源顾问有限公司,2022-01-05,287,1
四川轻化工大学2022年人才引进政策,北京神州硕博信息技术有限公司,2022-01-04,1324,1
重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,北京神州硕博信息技术有限公司,2022-01-04,873,1
国家国防科技工业局军工项目审核中心公开招聘,国家国防科技工业局军工项目审核中心,2022-01-04,894,1
航天三院三〇四所2022年校园招聘,北京京航计算通讯研究所,2022-01-02,2476,1
深圳前海麦格美科技有限公司2022管培生招聘,深圳前海麦格美科技有限公司,2022-01-02,1827,1
2022极米科技春季招聘提前批-招聘简章及岗位详情,成都极米科技股份有限公司,2022-01-02,1718,23
常州工学院2021-2022年人才招聘启事,北京南方国际人力资源顾问有限公司,2022-01-02,1622,1
浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,广州高才信息科技有限公司,2021-12-31,2214,1
武汉东湖学院马克思主义学院教师招聘,北京高博中进信息技术有限公司,2021-12-31,1839,1
2021-2022零点有数校园招聘火热开启,北京零点有数数据科技股份有限公司,2021-12-31,1788,1
广西师范大学2021年高层次人才招聘公告,北京南方国际人力资源顾问有限公司,2021-12-31,1754,1
青岛鼎信通讯 2022 届秋季校园招聘,青岛鼎信通讯股份有限公司,2021-12-31,1733,1
“安装星 星未来” 中建三局安装工程有限公司（中建三局智慧事业部）2022校园招聘,中建三局安装工程有限公司,2021-12-31,1745,1
极米2022届春季校园招聘,成都极米科技股份有限公司,2021-12-31,1710,1
电学专利代理人,北京亦城知本知识产权咨询有限公司,2021-12-31,1698,1
诚壹资本招聘投资助理,,2021-12-31,1749,
深部岩土力学与地下工程国家重点实验室面向海内外诚聘博士后研究人员,北京神州之窗网络技术服务有限公司,2021-12-31,1404,1
长城软件2022校园招聘,长城计算机软件与系统有限公司,2021-12-31,1398,1
中信证券北京分公司2022年校园招聘火热进行中,中信证券股份有限公司北京分公司,2021-12-31,1267,1
青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,中国华腾工业有限公司,2021-12-30,1827,1
推想-与AI同行 推想未来,推想医疗科技股份有限公司,2021-12-30,1498,1
西南医科大学2022年诚聘海内外英才,北京神州之窗网络技术服务有限公司,2021-12-30,1432,1
浙江新安化工集团股份有限公司2022届校园招聘,浙江新安化工集团股份有限公司,2021-12-30,1349,4
中国天辰工程有限公司2022年校园招聘,中国天辰工程有限公司,2021-12-30,1356,1
亚信科技招聘简章,中研博硕信息科技（湖北）有限公司,2021-12-30,1338,1
招商证券股份有限公司北京朝阳公园路证券营业部【招聘】,招商证券股份有限公司北京朝阳公园路证券营业部,2021-12-30,1319,2
揽英才 金陵科技学院招才引智，诚邀您的加盟,广州高才信息科技有限公司,2021-12-30,1434,1
麦捷科技2022年校园招聘简章,中研博硕信息科技（湖北）有限公司,2021-12-30,1411,1
启明信息技术股份有限公司2022年校园招聘简章,启明信息技术股份有限公司,2021-12-29,2388,4
清华大学天津高端装备研究院人才引进,中研博硕信息科技（湖北）有限公司,2021-12-29,2027,1
你和我的距离只有一封简历的厚度,北京广富晖电子科技有限公司,2021-12-29,2048,4
中证信息技术服务有限责任公司 2021年度招聘公告,中证信息技术服务有限责任公司,2021-12-29,1975,1
中国科学技术大学先进技术研究院2021-2022年度招聘简章,北京神州之窗网络技术服务有限公司,2021-12-29,2018,1
阳光电源2022届全球校园招聘秋招补录,阳光电源股份有限公司,2021-12-29,1870,1
中国卫通集团股份有限公司招聘,中国卫通集团股份有限公司,2021-12-29,1654,1
西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,北京南方国际人力资源顾问有限公司,2021-12-29,1611,1
中国热带农业科学院热带作物品种资源研究所2022年高层次及博士人才公开招聘公告,北京南方国际人力资源顾问有限公司,2021-12-29,1560,1
中国供销集团2022年度应届高校毕业生招聘公告,中国供销集团有限公司,2021-12-29,1595,1
华夏久盈资产管理有限责任公司2022校园招聘,华夏久盈资产管理有限责任公司,2021-12-29,1552,1
中国搜索2022年校园招聘简章,中国搜索信息科技股份有限公司,2021-12-29,1572,1
深圳市大数据研究院科研人员招聘简章,深圳市大数据研究院,2021-12-29,1714,2
九江学院2022年人才招聘公告,北京南方国际人力资源顾问有限公司,2021-12-29,1621,1
恒上咨询代宽带资本旗下云天使基金投资经理,北京恒上管理咨询有限公司,2021-12-28,1835,1
宁波工程学院2021年高层次人才（教师）招聘公告,广州高才信息科技有限公司,2021-12-28,1434,1
长三角腹地-常州工学院2021年人才招聘启事,北京神州之窗网络技术服务有限公司,2021-12-28,1294,1
校园招聘,天安人寿保险股份有限公司,2021-12-28,1241,3
中国海外工程有限责任公司2022届大学毕业生招聘公告,中国海外工程有限责任公司,2021-12-28,1230,1
正大集团2021-2022年度中央采购部校园招聘,正大贸易（中国）有限公司,2021-12-28,1236,1
网络安全就业招聘,中科安恒（北京）科技有限公司,2021-12-28,1191,10
福建工程学院2022年师资招聘计划,北京高博中进信息技术有限公司,2021-12-28,1136,1
湖北汽车工业学院 2021年面向社会专项公开招聘工作人员公告,十堰及时雨网络科技有限公司,2021-12-28,1119,1
职能管理类,北京金隅天坛家具股份有限公司,2021-12-28,1138,6
集团财务室工作人员,四川现代教育集团,2021-12-28,1134,1
北京上元信安技术有限公司招聘,北京上元信安技术有限公司,2021-12-28,1120,4
江西服装学院2022年招聘启事,北京高博中进信息技术有限公司,2021-12-28,1096,1
山东电力设备有限公司2022届高校毕业生招聘,山东电力设备有限公司,2021-12-28,1080,1
2022年校招岗位-金融公司,成都朋锦仲阳投资管理中心（有限合伙）,2021-12-28,1053,1
广州华立学院2022年博士招聘启事,北京神州之窗网络技术服务有限公司,2021-12-28,1038,1
武汉市自然资源和规划信息中心2021-2022年应届毕业生和相关岗位社会人才招聘简章,武汉市自然资源和规划信息中心,2021-12-28,1002,1
厦门理工学院2021年公开招聘人才启事,北京神州之窗网络技术服务有限公司,2021-12-28,971,1
浙江师范大学2021年专任教师招聘公告,北京南方国际人力资源顾问有限公司,2021-12-28,981,1
12月29日智联直播 | 500强企业远东控股集团（多专业）,远东控股集团有限公司,2021-12-28,979,1
2022年北京城市学院招聘启事,北京城市学院,2021-12-28,1075,4
芯征程,北京北方高业科技有限公司,2021-12-28,966,5
三环集团2022届秋季校园招聘火热进行中,潮州三环（集团）股份有限公司,2021-12-28,948,2
一汽解放汽车有限公司2022年秋季校园招聘启事,一汽解放汽车有限公司,2021-12-28,950,1
未来已来 只等你来 ——海南自由贸易港招才引智活动致广大学子的邀请函,国投人力资源服务有限公司,2021-12-27,1088,1
2022届校园招聘,中国电子产业工程有限公司,2021-12-27,1079,1
集团办公室工作人员,四川现代教育集团,2021-12-27,1003,1
集团后勤部工作人员,四川现代教育集团,2021-12-27,1003,1
2022中公教育校园招聘,,2021-12-27,997,1
数码视讯科技集团2022届校园招聘,北京数码视讯科技股份有限公司,2021-12-27,1035,1
中国电子科技集团公司第五十研究所【2022届校招】,上海微波技术研究所（中国电子科技集团公司第五十研究所）,2021-12-25,1590,7
中科院兰州化物所2022年人才招聘启事,中国科学院兰州化学物理研究所,2021-12-25,1369,1
2022年中信证券股份有限公司北京分公司管培生校园招聘,中信证券股份有限公司北京分公司,2021-12-25,1286,1
2021-2022零点有数校园招聘火热开启,北京零点有数数据科技股份有限公司,2021-12-25,1230,3
泰山学院2022年人才引进不限专业,北京南方国际人力资源顾问有限公司,2021-12-25,1218,1
C&F School 阳光心霖儿童公社2022年校园招聘,昆明市盘龙区心霖公社教育培训中心,2021-12-25,1195,6
北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘,广州高才信息科技有限公司,2021-12-24,1489,1
深圳雅学科技有限公司2021年招聘,北京高博中进信息技术有限公司,2021-12-24,1262,1
宇通集团2022届管培生招聘简章,郑州宇通集团有限公司,2021-12-24,1207,1
雅培中国2022校园招聘,雅培医疗器械贸易（上海）有限公司,2021-12-24,1210,1
销售&技术管理培训生招聘,北京瑞星网安技术股份有限公司,2021-12-24,1225,2
进出口招贤纳士,东方国科（北京）进出口有限公司,2021-12-24,1222,4
山东建筑大学第五届“海右青年学者论坛”诚邀海内外英才相聚云端,广州高才信息科技有限公司,2021-12-24,1202,1
唐山银行2022年校园招聘启事,唐山银行股份有限公司,2021-12-24,1211,1
银联国际有限公司2022届校园招聘,银联国际有限公司,2021-12-23,1179,1
电子科技大学先进毫米波技术集成攻关研究院招聘青年教师、博士后,电子科技大学,2021-12-23,1082,1
天津大学“生物信息测量与生物制造实验室”诚聘英才,广州高才信息科技有限公司,2021-12-23,990,1
重庆能源职业学院招聘简章,北京海天创高网络技术有限公司,2021-12-23,1045,1
2021下半年浙江农林大学专任教师岗位招聘公告,北京南方国际人力资源顾问有限公司,2021-12-23,982,1
广州航海学院 广州交通大学（筹）2021年招聘教授公告,北京南方国际人力资源顾问有限公司,2021-12-23,984,1
苏州｜常熟理工学院2021-2022年面向海内外诚聘英才,北京南方国际人力资源顾问有限公司,2021-12-23,970,1
北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告,广州高才信息科技有限公司,2021-12-23,991,1
商丘工学院2022年教师招聘,北京高博中进信息技术有限公司,2021-12-23,969,1
中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,北京南方国际人力资源顾问有限公司,2021-12-23,971,1
不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,北京南方国际人力资源顾问有限公司,2021-12-23,962,1
深圳市影子投资管理有限公司校园诚聘,深圳市影子投资管理有限公司,2021-12-23,961,3
瀛通通讯股份有限公司2022届毕业生,瀛通通讯股份有限公司,2021-12-22,979,2
中企通信2022校园招聘,,2021-12-22,1001,1
吉首大学张家界学院2022年专任教师招聘公告,吉首大学张家界学院,2021-12-22,965,3
2022年春季全国博士、博士后高级人才专场巡回签约洽谈会——中国科学院大学站,中研博硕英才信息咨询（武汉）有限公司,2021-12-22,965,2
兵器装备集团财务有限责任公司 2022届校园招聘,中国兵器装备集团人力资源开发中心,2021-12-22,990,1
安徽理工大学2022年博士招聘,北京高博中进信息技术有限公司,2021-12-22,948,1
正大集团2021-2022年度中央采购部校园招聘,正大贸易（中国）有限公司,2021-12-22,957,1
北京朗姿韩亚资产管理有限公司博士后科研工作站2022年度招聘简章,广州高才信息科技有限公司,2021-12-22,923,1
华夏人寿保险股份有限公司2022届校园招聘启事,华夏人寿保险股份有限公司,2021-12-22,940,1
小米集团2022全球校园招聘-汽车专项,小米科技有限责任公司,2021-12-22,963,1
小黑盒2022年校招,清枫（北京）科技有限公司,2021-12-22,935,6
紫光数码集团2022年度高校毕业生招聘,紫光电子商务有限公司,2021-12-22,934,1
福州大学博士后科研流动站2022年人才招聘计划,北京神州硕博信息技术有限公司,2021-12-22,912,1
新乡医学院2021年诚聘海内外高层次人才,北京磐石活水信息科技有限公司,2021-12-22,894,1
宁夏大学煤炭高效利用与绿色化工国家重点实验室 学术带头人/青年研究骨干/博士后招聘,北京神州硕博信息技术有限公司,2021-12-22,892,1
东北电力大学2021-2022年诚聘海内外人才,北京神州硕博信息技术有限公司,2021-12-22,897,1
网易有道2022届秋季校园招聘火热进行ing,网易有道信息技术（北京）有限公司,2021-12-22,920,1
深圳市巨博华投资有限公司，期待与聪明勤奋、不甘平庸、正直守信的你，携手打造中国最优秀的量化交易团队,深圳市巨博华投资有限公司,2021-12-22,891,2
中信证券北京分公司2022年校园招聘,中信证券股份有限公司北京分公司,2021-12-21,967,1
上海交通大学微纳工程科学重点实验室2021-2022年招聘简章,广州高才信息科技有限公司,2021-12-21,927,1
中山大学微电子科学与技术学院人才招聘,北京南方国际人力资源顾问有限公司,2021-12-21,917,1
2022年徐工机械建设机械分公司校园招聘,徐工集团工程机械股份有限公司建设机械分公司,2021-12-21,916,1
北京司拓民航科技有限责任公司 2022年校园招聘简章,北京司拓民航科技有限责任公司,2021-12-21,929,1
