招聘主题,用人单位,发布日期,浏览次数,职位数量
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,718,1
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,705,1
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,702,1
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,697,1
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,711,1
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-25,738,4
嘉应学院2021-2022年人才招聘启事,北京诺美斯信息技术有限公司,2021-10-24,710,1
河北农业大学2021年选聘博士公告,北京邮电大学就业指导中心,2021-10-24,707,1
材料科学姑苏实验室2021年高层次人才招聘启事,北京邮电大学就业指导中心,2021-10-24,702,1
桂在珍惜 工候你来-桂林理工大学2021年诚邀优秀人才加盟,北京神州硕博信息技术有限公司,2021-10-24,719,1
北京华龙通科技有限公司,北京华龙通科技有限公司,2021-10-22,726,5
嘉入我们 庚进一步-厦门大学嘉庚学院2021-2022学年人才招聘启事,北京神州之窗网络技术服务有限公司,2021-10-22,700,1
央企华侨城集团公司2022校园招聘,华侨城集团公司,2021-10-21,729,2
中国科学院武汉岩土力学研究所科研岗位和特别研究助理（含博士后）招聘简章【长期有效】,北京神州硕博信息技术有限公司,2021-10-21,709,1
金川集团股份有限公司,金川集团股份有限公司,2021-10-21,651,2
中国广电广州网络股份有限公司（原珠江数码）,广州珠江数码集团股份有限公司,2021-10-20,736,13
浙江大学核医学创新研究中心招聘博士后,北京南方国际人力资源顾问有限公司,2021-10-20,706,1
中车信息技术有限公司,中车信息技术有限公司,2021-10-20,761,4
北京未尔锐创科技有限公司,成都未尔科技有限公司,2021-10-20,659,1
安捷中科（北京）数据科技有限公司,安捷中科（北京）数据科技有限公司,2021-10-19,717,1
中科本原科技（北京）有限公司,中科本原科技（北京）有限公司,2021-10-19,825,15
中国广电广州网络股份有限公司,广州珠江数码集团股份有限公司,2021-10-19,722,13
智能驾驶激光雷达领军企业—深圳市速腾聚创科技有限公司 2022校园招聘宣讲会（北京站）,深圳市速腾聚创科技有限公司,2021-10-19,715,1
2022中公教育校园招聘-教招讲师,,2021-10-18,711,1
管理咨询顾问-北京、西安、深圳,北京知本创业管理咨询有限公司,2021-10-18,709,3
中科南京智能技术研究院招聘简章,北京斯博特科技发展有限公司,2021-10-17,724,1
清华大学材料课题组招聘热电/热障/结构陶瓷博士后,北京邮电大学就业指导中心,2021-10-17,704,1
图灵深视（北京）科技有限公司,图灵深视（北京）科技有限公司,2021-10-15,720,8
中信证券股份有限公司杭州凤起路证券营业部,中信证券股份有限公司杭州凤起路证券营业部,2021-10-15,707,1
ASM先进科技（中国）有限公司2022校园招聘（成都）,先进科技（中国）有限公司,2021-10-15,741,7
中国技术进出口集团有限公司,中国技术进出口集团有限公司,2021-10-15,777,6
中国科学院微电子研究所低功耗智能芯片与系统团队招聘,北京诺美斯信息技术有限公司,2021-10-14,790,1
中国石化上海石油化工研究院2021年人才招聘,北京神州硕博信息技术有限公司,2021-10-14,788,1
携程计算机技术（上海）有限公司,携程计算机技术（上海）有限公司,2021-10-14,816,1
成都思科瑞微电子股份有限公司,成都思科瑞微电子股份有限公司,2021-10-14,720,2
西安电子科技大学杭州研究院2021年全球招聘引才公告,广州高才信息科技有限公司,2021-10-14,731,1
广东省工业设备安装有限公司,广东省工业设备安装有限公司,2021-10-14,807,1
锐方（上海）私募基金管理有限公司招聘,锐方（上海）私募基金管理有限公司,2021-10-13,713,2
东南数字经济发展研究院,东南数字经济发展研究院,2021-10-13,717,6
中国科学院软件研究所中国科学院软件研究所2022年度校园招聘简章,中国科学院软件研究所,2021-10-13,869,1
北京市地铁运营有限公司,北京市地铁运营有限公司,2021-10-13,735,1
北京五一视界数字孪生科技股份有限公司,当家移动绿色互联网技术集团有限公司,2021-10-12,805,6
中交信息技术国家工程实验室有限公司,中交信息技术国家工程实验室有限公司,2021-10-12,876,3
北京流马锐驰科技有限公司,北京流马锐驰科技有限公司,2021-10-12,786,1
北京大学长三角光电科学研究院招聘启事,广州高才信息科技有限公司,2021-10-12,766,1
辽宁交投艾特斯智能交通技术有限公司,辽宁艾特斯智能交通技术有限公司,2021-10-12,751,7
广东省新一代通信与网络创新研究院2022届毕业生招聘,广东省新一代通信与网络创新研究院,2021-10-12,738,11
北京机械工业自动化研究所有限公司,北京机械工业自动化研究所有限公司,2021-10-12,753,1
中国科学院武汉岩土力学研究所,中国科学院武汉岩土力学研究所,2021-10-11,722,1
英国豪迈国际有限公司上海代表处,英国豪迈国际有限公司上海代表处,2021-10-11,730,1
中资网络信息安全科技有限公司2022校招正式启动！,中资网络信息安全科技有限公司,2021-10-11,767,4
哈尔滨工业大学人工智能研究院有限公司,哈尔滨工业大学人工智能研究院有限公司,2021-10-11,733,1
北京知本创业管理咨询有限公司,北京知本创业管理咨询有限公司,2021-10-11,727,3
中国网安（含中国电科三十所）2022届校园招聘,中国电子科技集团公司第三十研究所,2021-10-11,782,1
北京晟芯网络科技有限公司,北京晟芯网络科技有限公司,2021-10-11,740,4
中科南京智能技术研究院招聘简章,北京君林浩海科技咨询有限公司,2021-10-11,740,1
启明信息技术股份有限公司,启明信息技术股份有限公司,2021-10-10,758,5
重庆邮电大学2021-2022年招聘,北京斯博特科技发展有限公司,2021-10-10,812,1
台州学院高等研究院—智能信息处理研究所招聘启事,北京斯博特科技发展有限公司,2021-10-10,705,1
厦门工学院2021年教师招聘启事,北京斯博特科技发展有限公司,2021-10-10,733,1
中国科学院微电子研究所低功耗智能芯片与系统团队招聘,北京君林浩海科技咨询有限公司,2021-10-10,739,1
苏州大学未来校区人才招聘公告,北京南方国际人力资源顾问有限公司,2021-10-10,737,1
东北农业大学2021年下半年人才公开招聘公告,北京君林浩海科技咨询有限公司,2021-10-10,759,1
中国科学院长春应用化学研究所2021年度招聘启事,北京诺美斯信息技术有限公司,2021-10-10,738,1
苏州系统医学研究所高层次人才招聘公告,北京诺美斯信息技术有限公司,2021-10-10,706,1
广东医科大学2021年人才招聘公告,北京邮电大学就业指导中心,2021-10-10,725,1
光大科技有限公司,光大科技有限公司,2021-10-09,801,1
广东科学技术职业学院2021年高层次人才招聘公告,广州高才信息科技有限公司,2021-10-09,746,1
上海人工智能创新中心,上海人工智能创新中心,2021-10-09,716,5
上海人工智能创新中心,上海人工智能创新中心,2021-10-09,762,1
新瑞鹏宠物医疗集团有限公司,新瑞鹏宠物医疗集团有限公司,2021-10-09,726,1
中国科学院上海巴斯德研究所2021年度招聘启事,北京南方国际人力资源顾问有限公司,2021-10-09,731,1
数码视讯科技集团2022届校园招聘,北京数码视讯科技股份有限公司,2021-10-08,721,1
南京理工大学教师招聘,南京理工大学江阴校区,2021-10-08,892,1
CNH集团--晨皓知识产权 2022届校园招聘简章,上海晨皓知识产权代理事务所（普通合伙）,2021-10-08,673,1
蓝诺微银（北京）信息技术有限公司,蓝诺微银（北京）信息技术有限公司,2021-10-08,696,1
中国人民解放军第五七二〇工厂2022年校园招聘,中国人民解放军第五七二〇工厂,2021-10-03,759,1
中国科学院国家空间科学中心,中国科学院国家空间科学中心,2021-10-01,723,1
中国科学院国家空间科学中心2022年特别研究助理招聘启事,中国科学院国家空间科学中心,2021-10-01,717,1
西安纸贵互联网科技有限公司,西安纸贵互联网科技有限公司,2021-09-30,766,1
热招：IT互联网高端猎头顾问/管培生（欢迎转行，欢迎应届生，北京朝阳门包住）,北京嗨猎咨询有限公司,2021-09-30,601,2
上海汉得信息技术股份有限公司,上海汉得信息技术股份有限公司,2021-09-30,590,3
福建新大陆支付科技有限公司,福建新大陆支付科技有限公司,2021-09-29,737,4
南京摄星智能科技有限公司,南京摄星智能科技有限公司,2021-09-29,816,8
上海海隆软件2022届校园招聘,上海海隆软件有限公司,2021-09-29,754,1
北京中科闻歌科技股份有限公司2022届校招,北京中科闻歌科技股份有限公司招聘简章,2021-09-29,815,8
北京飞斯科科技有限公司,北京飞斯科科技有限公司,2021-09-28,783,1
一汽解放汽车有限公司2022年秋季校园招聘,一汽解放汽车有限公司,2021-09-28,734,1
北京亚控科技发展有限公司,北京亚控科技发展有限公司,2021-09-28,762,4
广西科技大学2021-2022年面向海内外诚聘优秀人才,广西科技大学,2021-09-27,684,1
福建省招标采购集团有限公司2022届校园招聘,福建省招标采购集团有限公司,2021-09-27,676,1
一汽解放汽车有限公司2022年秋季校园招聘,一汽解放汽车有限公司,2021-09-27,694,1
启元世界（北京）信息技术服务有限公司,启元世界（北京）信息技术服务有限公司,2021-09-27,840,4
国家工信安全中心（工信部电子一所）2022校园招聘,国家工业信息安全发展研究中心,2021-09-27,924,1
东北电力大学2021年秋季招聘公告,北京南方国际人力资源顾问有限公司,2021-09-27,750,1
湖南泛联新安信息科技有限公司,湖南泛联新安信息科技有限公司,2021-09-26,691,3
中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,北京南方国际人力资源顾问有限公司,2021-09-26,670,1
意昂—郑州中原国际汽车研究院2022校园招聘,意昂神州(北京)科技有限公司,2021-09-25,674,6
北大医疗信息技术有限公司,北大医疗信息技术有限公司,2021-09-24,719,9
22届毕业生，医疗仪器行业offer待查！,北京贝尔生物工程股份有限公司,2021-09-24,700,2
锐方（上海）私募基金管理有限公司,锐方（上海）私募基金管理有限公司,2021-09-24,672,2
张江实验室光子芯片研发部博士后招聘公告,张江实验室,2021-09-23,692,1
中电科风华信息装备股份有限公司,中电科风华信息装备股份有限公司,2021-09-23,682,1
2022中公教育校园招聘-管培生,,2021-09-23,679,1
北京国双科技有限公司,北京国双科技有限公司,2021-09-23,753,1
中安威士（北京）科技有限公司,中安威士（北京）科技有限公司,2021-09-23,720,1
北京理工雷科电子信息技术有限公司,北京理工雷科电子信息技术有限公司,2021-09-22,766,8
数码视讯科技集团2022届校园招聘,北京数码视讯科技股份有限公司,2021-09-22,713,1
广东宽普科技有限公司,广东宽普科技有限公司,2021-09-22,711,4
深圳市松鼠教育科技有限公司,深圳市松鼠教育科技有限公司,2021-09-22,693,1
中国网安（含中国电科三十所）2022届校园招聘,中国电子科技集团公司第三十研究所,2021-09-22,754,1
内蒙古大学常年引进高层次人才公告（中英文版）,北京神州硕博信息技术有限公司,2021-09-22,712,1
北京北航天宇长鹰无人机科技有限公司,北京北航天宇长鹰无人机科技有限公司,2021-09-21,1034,1
烽台科技（北京）有限公司,烽台科技（北京）有限公司,2021-09-18,759,4
南京途善久文化传播有限公司,南京途善久文化传播有限公司,2021-09-18,710,1
电子科技大学成都学院教学资源部数据工程师招聘公告,北京君林浩海科技咨询有限公司,2021-09-18,995,1
中国航空综合技术研究所2022校园招聘,中国航空综合技术研究所,2021-09-18,912,4
武汉达梦数据库股份有限公司,武汉达梦数据库股份有限公司,2021-09-17,719,6
汉王科技股份有限公司,汉王科技股份有限公司,2021-09-17,737,3
Longer Pump-软件工程师,英国豪迈国际有限公司上海代表处,2021-09-17,716,1
中信网络有限公司,中信网络有限公司,2021-09-17,777,3
索菲亚集团2022届校园招聘,索菲亚家居股份有限公司,2021-09-16,706,10
中交基础设施养护集团有限公司,中交基础设施养护集团有限公司,2021-09-16,711,1
桂林力源粮油食品集团有限公司,桂林力源粮油食品集团有限公司,2021-09-16,694,1
唐山市环境规划科学研究院（唐山市生态环境宣传教育中心）2022届校园招聘,唐山市环境保护研究所,2021-09-16,713,1
远东控股集团有限公司,远东控股集团有限公司,2021-09-16,695,4
华芯巨数（杭州）微电子有限公司,华芯巨数（杭州）微电子有限公司,2021-09-16,703,4
乐玩新大地（北京）科技有限公司,乐玩新大地（北京）科技有限公司,2021-09-16,718,6
香港科技大学22fall数据建模硕士学位项目宣讲会,南京途善久文化传播有限公司,2021-09-15,730,1
福建工程学院2022年师资招聘,福建工程学院,2021-09-15,714,1
北京和利时系统工程有限公司,北京和利时系统工程有限公司,2021-09-15,727,4
无锡中感微电子有限公司,无锡中感微电子有限公司,2021-09-15,722,3
杭州趣链科技有限公司,杭州趣链科技有限公司,2021-09-15,716,3
交通运输部天津水运工程科学研究所,交通运输部天津水运工程科学研究所,2021-09-15,707,1
厦门二维进化网络技术有限公司,厦门二维进化网络技术有限公司,2021-09-15,576,11
中建二局一公司2022校园精英招聘,中建二局第一建筑工程有限公司,2021-09-14,746,1
无量科技股份有限公司,无量科技股份有限公司,2021-09-14,743,1
北大医信2022届校园招聘,北大医疗信息技术有限公司,2021-09-14,737,14
北京微纳星空科技有限公司,北京微纳星空科技有限公司,2021-09-14,732,5
贵阳市创业投资有限公司,贵阳市创业投资有限公司,2021-09-14,722,3
中国国际贸易促进委员会专利商标事务所,中国国际贸易促进委员会专利商标事务所,2021-09-14,685,3
苏州雄立科技有限公司,苏州雄立科技有限公司,2021-09-14,696,6
中建三局2022“争先之星”校园招聘简章,中建三局集团有限公司,2021-09-13,724,1
扬州宇安电子科技有限公司,扬州宇安电子科技有限公司,2021-09-13,702,9
北京数势云创科技有限公司,北京数势云创科技有限公司,2021-09-13,737,3
数码视讯科技集团2022届校园招聘,北京数码视讯科技股份有限公司,2021-09-13,761,1
中国科学院武汉岩土力学研究所科研岗位和特别研究助理（含博士后）招聘简章【长期有效】,中国科学院武汉岩土力学研究所,2021-09-13,734,1
北京爱学习博乐教育科技有限公司,北京爱学习博乐教育科技有限公司,2021-09-13,733,2
创新奇智2022年校园招聘,青岛创新奇智科技集团股份有限公司,2021-09-13,749,7
正青春 创未来|广州联通2022届校园招聘,中国联合网络通信有限公司广州市分公司,2021-09-13,732,9
富士康工业互联网股份有限公司2022校园招聘简章,富士康工业互联网股份有限公司,2021-09-13,690,3
宇通集团2022届校园招聘简章,郑州宇通集团有限公司,2021-09-10,725,1
大唐高鸿2022年校园招聘信息,大唐高鸿数据网路技术股份有限公司,2021-09-10,785,10
恰青春，正当燃—当当网2022校园招聘公告,北京当当网信息技术有限公司,2021-09-10,732,1
广东赛微微电子股份有限公司,广东赛微微电子股份有限公司,2021-09-10,719,5
荣盛盟固利新能源科技股份有限公司,荣盛盟固利新能源科技股份有限公司,2021-09-10,761,14
芯讯通无线科技（上海）有限公司,芯讯通无线科技有限公司,2021-09-10,744,3
“乘风而上，未来有你” ——天风证券2022届校园招聘简章,天风证券股份有限公司,2021-09-10,691,1
北京北方华创微电子装备有限公司,北京北方华创微电子装备有限公司,2021-09-09,704,1
北京北方华创微电子装备有限公司,北京北方华创微电子装备有限公司,2021-09-09,705,1
北京中科科仪股份有限公司2022届校园招聘,北京中科科仪股份有限公司,2021-09-09,713,1
航天恒星科技有限公司,航天恒星科技有限公司,2021-09-09,821,13
深圳市环波科技有限责任公司,深圳市环波科技有限责任公司,2021-09-09,716,6
中铁物贸集团有限公司,中铁物贸集团有限公司,2021-09-08,763,1
广州乐牛软件科技有限公司,广州乐牛软件科技有限公司,2021-09-08,776,1
北京阿凡提互娱科技有限公司,北京阿凡提互娱科技有限公司,2021-09-08,742,3
中科曙光2022届校园招聘简章,曙光信息产业股份有限公司,2021-09-08,836,1
智慧互通（AIPARK）2022校园招聘,智慧互通科技股份有限公司北京分公司,2021-09-08,830,1
北京智源人工智能研究院,北京智源人工智能研究院,2021-09-08,755,1
深圳市兴海物联科技有限公司,深圳市兴海物联科技有限公司,2021-09-08,698,5
浙江诺诺网络科技有限公司,浙江诺诺网络科技有限公司,2021-09-08,705,4
南京国兆光电科技有限公司,南京国兆光电科技有限公司,2021-09-08,710,11
北京智一科技校园招聘——全职岗位,北京智一科技有限公司,2021-09-08,718,9
晨山（北京）企业管理咨询有限公司,晨山（北京）企业管理咨询有限公司,2021-09-07,711,1
中国电子科技网络信息安全有限公司,中国电子科技网络信息安全有限公司,2021-09-07,740,1
北京数码视讯科技股份有限公司,北京数码视讯科技股份有限公司,2021-09-07,714,1
深圳市纽创信安科技开发有限公司,深圳市纽创信安科技开发有限公司,2021-09-07,704,13
中国船舶工业综合技术经济研究院2022年校园招聘,中国船舶工业综合技术经济研究院,2021-09-07,779,1
牛津（海南）区块链研究院有限公司,牛津（海南）区块链研究院有限公司,2021-09-07,746,6
西北工业大学无人机所2022校园招聘,西安爱生技术集团公司,2021-09-07,732,1
“才聚淄博”小程序-淄博市人社局推出,淄博市就业服务中心,2021-09-07,741,1
广州市中大管理咨询有限公司,广州市中大管理咨询有限公司,2021-09-06,711,6
帆软软件有限公司,帆软软件有限公司,2021-09-06,709,5
东方剑桥集团,东方剑桥集团,2021-09-06,729,1
广东智能无人系统研究院2022年校园招聘公告,广东智能无人系统研究院,2021-09-06,755,1
内蒙古蒙牛乳业（集团）股份有限公司,内蒙古蒙牛乳业（集团）股份有限公司,2021-09-06,732,1
上海唯捷创芯电子技术有限公司,上海唯捷创芯电子技术有限公司,2021-09-06,724,2
一汽奔腾2022全球校园招聘,一汽奔腾轿车有限公司,2021-09-06,761,1
苏州新东方培训学校有限公司,苏州新东方培训学校有限公司,2021-09-06,724,5
深圳哈稀网络技术有限公司,深圳哈稀网络技术有限公司,2021-09-06,738,5
广东省电信规划设计院有限公司北京分院2022校园招聘,广东省电信规划设计院有限公司,2021-09-05,745,5
中国科学院沈阳自动化研究所2021-2022年校园招聘,中国科学院沈阳自动化研究所,2021-09-04,818,2
一汽解放青岛汽车有限公司,一汽解放青岛汽车有限公司,2021-09-03,680,1
锐捷网络2022届校园招聘简章,北京星网锐捷网络,2021-09-03,767,26
启明信息技术股份有限公司2022年校园招聘简章,启明信息技术股份有限公司,2021-09-03,747,5
北京亚控科技发展有限公司2022届校园招聘简章,北京亚控科技发展有限公司,2021-09-03,770,4
邯郸制药股份有限公司,邯郸制药股份有限公司,2021-09-03,748,2
中国科学院沈阳自动化研究所2021-2022年校园招聘,中国科学院沈阳自动化研究所,2021-09-03,792,2
【鼎阳科技】和光同行，为你而来！2022届校园招聘正在进行中,深圳市鼎阳科技股份有限公司,2021-09-03,748,1
超越科技股份有限公司,超越科技股份有限公司,2021-09-03,774,9
浙江臻镭科技股份有限公司,浙江臻镭科技股份有限公司,2021-09-03,764,12
珠海亿智电子科技有限公司,珠海亿智电子科技有限公司,2021-09-03,725,11
中建三局信息技术研究院2022校园招聘,中建三局安装工程有限公司,2021-09-02,770,4
珠海剑心互动娱乐有限公司,珠海剑心互动娱乐有限公司,2021-09-02,725,1
迪士尼(Disney)全资在线视频公司 Disney+ Hotstar 2022年校园招聘,寰理文化传播(上海)有限公司北京分公司,2021-09-02,744,1
北京品驰医疗设备有限公司,北京品驰医疗设备有限公司,2021-09-02,747,1
山东五征集团有限公司,山东五征集团有限公司,2021-09-02,731,12
中国船舶第八研究院（南京）2022届校园招聘,北京神州硕博信息技术有限公司,2021-09-02,826,1
埃里斯克矿山工程机械(北京）有限公司,埃里斯克矿山工程机械(北京）有限公司,2021-09-02,703,1
曼迪匹艾（北京）科技服务有限公司,曼迪匹艾（北京）科技服务有限公司,2021-09-02,816,1
昆明心霖公社教育中心2022届校园招聘简章,昆明心霖公社培训学校,2021-09-02,732,2
中国核工业集团有限公司,中国核工业集团有限公司,2021-09-01,838,1
北京智连渔达网络技术有限责任公司,北京智连渔达网络技术有限责任公司,2021-09-01,751,1
青岛上合航天科技有限公司2022校招,青岛上合航天科技有限公司,2021-09-01,771,1
中建智能技术有限公司2022年校园招聘简章,中建智能技术有限公司,2021-09-01,764,6
福建永荣控股集团有限公司,福建永荣控股集团有限公司,2021-09-01,752,1
中建-大成建筑有限责任公司,中建-大成建筑有限责任公司,2021-09-01,783,4
北京博乐科技有限公司,北京博乐科技有限公司,2021-09-01,735,3
年少有为 智创未来——东信创智2022年校园招聘,沈阳东信创智科技有限公司,2021-09-01,689,12
北京威努特技术有限公司,北京威努特技术有限公司,2021-09-01,910,8
特斯拉（上海）有限公司,特斯拉（上海）有限公司,2021-09-01,741,10
森思泰克河北科技有限公司,森思泰克河北科技有限公司,2021-09-01,629,19
中国电子科技集团公司第九研究所2021-2022年校园招聘,西南应用磁学研究所（中国电子科技集团公司第九研究所）,2021-09-01,781,2
中钢招标有限责任公司,中钢招标有限责任公司,2021-09-01,669,1
